rate_date,currency,rate_year,rate_month,buying_rate
2001-12-10,POUNDS STERLING,2001,December,160.0238
2001-12-11,POUNDS STERLING,2001,December,160.158
2001-12-12,POUNDS STERLING,2001,December,161.1759
2001-12-13,POUNDS STERLING,2001,December,161.7015
2001-12-14,POUNDS STERLING,2001,December,162.5786
2001-12-18,POUNDS STERLING,2001,December,162.9486
2001-12-19,POUNDS STERLING,2001,December,162.1975
2001-12-20,POUNDS STERLING,2001,December,161.9172
2001-12-21,POUNDS STERLING,2001,December,162.7468
2001-12-24,POUNDS STERLING,2001,December,161.5593
2001-12-27,POUNDS STERLING,2001,December,162.6716
2001-12-28,POUNDS STERLING,2001,December,162.6814
2001-12-31,POUNDS STERLING,2001,December,162.8726
2002-01-02,POUNDS STERLING,2002,January,163.0637
2002-01-03,POUNDS STERLING,2002,January,162.434
2002-01-04,POUNDS STERLING,2002,January,162.119
2002-01-07,POUNDS STERLING,2002,January,162.0401
2002-01-08,POUNDS STERLING,2002,January,162.1978
2002-01-09,POUNDS STERLING,2002,January,162.2993
2002-01-10,POUNDS STERLING,2002,January,163.0885
2002-01-11,POUNDS STERLING,2002,January,163.0546
2002-01-14,POUNDS STERLING,2002,January,163.7549
2002-01-15,POUNDS STERLING,2002,January,163.2353
2002-01-16,POUNDS STERLING,2002,January,162.1962
2002-01-17,POUNDS STERLING,2002,January,161.7896
2002-01-18,POUNDS STERLING,2002,January,162.1736
2002-01-21,POUNDS STERLING,2002,January,162.1623
2002-01-22,POUNDS STERLING,2002,January,161.3378
2002-01-23,POUNDS STERLING,2002,January,161.2135
2002-01-24,POUNDS STERLING,2002,January,160.4568
2002-01-25,POUNDS STERLING,2002,January,160.42700000000002
2002-01-28,POUNDS STERLING,2002,January,159.1705
2002-01-29,POUNDS STERLING,2002,January,159.4535
2002-01-30,POUNDS STERLING,2002,January,160.2686
2002-01-31,POUNDS STERLING,2002,January,159.9629
2002-02-01,POUNDS STERLING,2002,February,159.6007
2002-02-04,POUNDS STERLING,2002,February,160.3818
2002-02-05,POUNDS STERLING,2002,February,161.0157
2002-02-06,POUNDS STERLING,2002,February,160.0648
2002-02-07,POUNDS STERLING,2002,February,159.6686
2002-02-08,POUNDS STERLING,2002,February,161.0333
2002-02-11,POUNDS STERLING,2002,February,161.8292
2002-02-12,POUNDS STERLING,2002,February,162.0907
2002-02-13,POUNDS STERLING,2002,February,162.80700000000002
2002-02-14,POUNDS STERLING,2002,February,162.1021
2002-02-15,POUNDS STERLING,2002,February,162.2385
2002-02-18,POUNDS STERLING,2002,February,162.4546
2002-02-19,POUNDS STERLING,2002,February,162.1021
2002-02-20,POUNDS STERLING,2002,February,163.3403
2002-02-21,POUNDS STERLING,2002,February,162.8378
2002-02-25,POUNDS STERLING,2002,February,163.1804
2002-02-26,POUNDS STERLING,2002,February,162.7007
2002-02-27,POUNDS STERLING,2002,February,161.6958
2002-02-28,POUNDS STERLING,2002,February,162.3349
2002-03-01,POUNDS STERLING,2002,March,162.9199
2002-03-04,POUNDS STERLING,2002,March,162.8167
2002-03-05,POUNDS STERLING,2002,March,163.6492
2002-03-06,POUNDS STERLING,2002,March,163.5916
2002-03-07,POUNDS STERLING,2002,March,163.96
2002-03-08,POUNDS STERLING,2002,March,163.9024
2002-03-11,POUNDS STERLING,2002,March,163.3614
2002-03-12,POUNDS STERLING,2002,March,162.6939
2002-03-13,POUNDS STERLING,2002,March,162.3716
2002-03-14,POUNDS STERLING,2002,March,163.1312
2002-03-15,POUNDS STERLING,2002,March,163.6031
2002-03-18,POUNDS STERLING,2002,March,163.7758
2002-03-19,POUNDS STERLING,2002,March,164.2937
2002-03-20,POUNDS STERLING,2002,March,163.5571
2002-03-21,POUNDS STERLING,2002,March,164.4894
2002-03-22,POUNDS STERLING,2002,March,164.1211
2002-03-25,POUNDS STERLING,2002,March,164.2247
2002-03-26,POUNDS STERLING,2002,March,163.7873
2002-03-27,POUNDS STERLING,2002,March,164.00599999999997
2002-03-28,POUNDS STERLING,2002,March,163.8103
2002-04-02,POUNDS STERLING,2002,April,165.4447
2002-04-03,POUNDS STERLING,2002,April,165.3987
2002-04-04,POUNDS STERLING,2002,April,165.4102
2002-04-07,POUNDS STERLING,2002,April,165.0994
2002-04-08,POUNDS STERLING,2002,April,165.0994
2002-04-09,POUNDS STERLING,2002,April,164.8462
2002-04-10,POUNDS STERLING,2002,April,165.3987
2002-04-11,POUNDS STERLING,2002,April,165.0534
2002-04-12,POUNDS STERLING,2002,April,165.2836
2002-04-15,POUNDS STERLING,2002,April,165.3757
2002-04-16,POUNDS STERLING,2002,April,165.2951
2002-04-17,POUNDS STERLING,2002,April,166.1469
2002-04-18,POUNDS STERLING,2002,April,166.2274
2002-04-19,POUNDS STERLING,2002,April,166.5727
2002-04-22,POUNDS STERLING,2002,April,166.5267
2002-04-23,POUNDS STERLING,2002,April,166.6763
2002-04-24,POUNDS STERLING,2002,April,165.0419
2002-04-25,POUNDS STERLING,2002,April,167.0446
2002-04-26,POUNDS STERLING,2002,April,167.2888
2002-04-29,POUNDS STERLING,2002,April,168.4072
2002-04-30,POUNDS STERLING,2002,April,167.8422
2002-05-02,POUNDS STERLING,2002,May,168.5455
